product,cpe,vid
Application Links,cpe:/a:atlassian:application_links,33237
Atlassian Activity Streams,cpe:/a:atlassian:activity_streams,32429
Atlassian Bitbucket Server,cpe:/a:atlassian:bitbucket_server,32606
Atlassian Connect Express,cpe:/a:atlassian:connect_express,50121
Atlassian Connect Spring Boot,cpe:/a:atlassian:connect_spring_boot,50120
Atlassian Navigator Links,cpe:/a:atlassian:navigator_links,45028
Atlassian Oauth,cpe:/a:atlassian:oauth,30429
Atlassian Troubleshooting and Support Tools,cpe:/a:atlassian:troubleshooting_and_support,41557
atlassian-http library,cpe:/a:atlassian:http_library,35333
atlassian-renderer,cpe:/a:atlassian:atlassian-renderer,33304
Bamboo,cpe:/a:atlassian:bamboo,5185
Bitbucket,cpe:/a:atlassian:bitbucket,28769
bitbucket auto-unapprove,cpe:/a:atlassian:bitbucket_auto_unapprove_plugin,31678
cloudtoken,cpe:/a:atlassian:cloudtoken,35729
Companion,cpe:/a:atlassian:companion,44977
Confluence,cpe:/a:atlassian:confluence,5183
Crowd,cpe:/a:atlassian:crowd,5186
Crowd 2,cpe:/a:atlassian:crowd2,37147
Crucible,cpe:/a:atlassian:crucible,5184
Data Center,cpe:/a:atlassian:data_center,37469
Editor core,cpe:/a:atlassian:editor-core,46724
FishEye,cpe:/a:atlassian:fisheye,3509
Floodlight,cpe:/a:atlassian:floodlight,32821
GreenHopper,cpe:/a:atlassian:greenhopper,43386
HipChat,cpe:/a:atlassian:hipchat,24876
Hipchat Data Center,cpe:/a:atlassian:hipchat_data_center,31615
HipChat Integration Plugin for Bitbucket Server,cpe:/a:atlassian:hipchat_integration_plugin_for_bitbucket_server,27790
Hipchat Server,cpe:/a:atlassian:hipchat_server,28841
HTML Include and replace macro,cpe:/a:atlassian:html_include_and_replace_macro,39973
JIRA,cpe:/a:atlassian:jira,5182
Jira Comment,cpe:/a:atlassian:jira_comment,47449
JIRA Core,cpe:/a:atlassian:jira_core,25364
Jira Create,cpe:/a:atlassian:jira_create,47451
JIRA Service Desk,cpe:/a:atlassian:jira_service_desk,25363
Jira Software Data Center,cpe:/a:atlassian:jira_software_data_center,45403
SAML Single Sign On (SSO),cpe:/a:atlassian:saml_single_sign_on,42295
SourceTree,cpe:/a:atlassian:sourcetree,29166
Subversion ALM,cpe:/a:atlassian:subversion_application_lifecycle_management,43934
Universal Plugin Manager,cpe:/a:atlassian:universal_plugin_manager,35293
MobiConnect,cpe:/a:mobilis:mobiconnect,30498
atmail,cpe:/a:atmail:atmail,6040
atmail Open,cpe:/a:atmail:atmail_open,3319
atmail WebAdmin,cpe:/a:atmail:atmail_webadmin,6041
atmail Webmail,cpe:/a:atmail:webmail,3616
atme,cpe:/a:atme:atme,22293
Snazzy Maps,cpe:/a:atmist:snazzy_maps,36104
PHP-pastebin,cpe:/a:atmoner:php-pastebin,8976
atob,cpe:/a:atob_project:atob,34172
Atom,cpe:/a:misc:atom_atom,26007
photoblog,cpe:/a:atom:photoblog,6043
atom,cpe:/a:atom_project:atom,49087
atom-node-module-installer,cpe:/a:atom-node-module-installer_project:atom-node-module-installer,33986
ActivePresenter,cpe:/a:atomisystems:activepresenter,48036
SelectSurvey.NET,cpe:/a:classapps:selectsurvey.net,21578
atomic photo album,cpe:/a:atomic_photo_album:atomic_photo_album,6044
atomic-option,cpe:/a:atomic-option_project:atomic-option,49468
atomixmp3,cpe:/a:virtualdj:atomixmp3,6045
Virtual DJ,cpe:/a:virtualdj:virtual_dj,9548
atomphotoblog,cpe:/a:atomphotoblog:atomphotoblog,6046
SE5901 ファームウェア,cpe:/o:atoptechnology:se5901_firmware,46500
SE5901B ファームウェア,cpe:/o:atoptechnology:se5901b_firmware,46501
SE5904D ファームウェア,cpe:/o:atoptechnology:se5904d_firmware,46502
SE5908 ファームウェア,cpe:/o:atoptechnology:se5908_firmware,46503
SE5908A ファームウェア,cpe:/o:atoptechnology:se5908a_firmware,46504
SE5916 ファームウェア,cpe:/o:atoptechnology:se5916_firmware,46505
SE5916A ファームウェア,cpe:/o:atoptechnology:se5916a_firmware,46506
atop,cpe:/a:atop_project:atop,41585
intraweb component,cpe:/a:atozed_software:intraweb_component,6047
ACollab,cpe:/a:adaptive_technology_resource_centre:acollab,448
ATutor,cpe:/a:adaptive_technology_resource_centre:atutor,449
mercur imapd,cpe:/a:atrium_software:mercur_imapd,6048
mercur messaging 2005,cpe:/a:atrium_software:mercur_messaging_2005,6049
Attachmate Verastream Process Designer,cpe:/a:attachmate:verastream_process_designer,20627
Reflection,cpe:/a:attachmate:reflection,3589
Reflection for HP,cpe:/a:attachmate:reflection_for_hp,9491
Reflection for IBM,cpe:/a:attachmate:reflection_for_ibm,9488
Reflection for ReGIS Graphics,cpe:/a:attachmate:reflection_for_regis_graphics_server,9489
reflection for secure it,cpe:/a:attachmate:reflection_for_secure_it,6050
Reflection for the Web,cpe:/a:attachmate:reflection_for_the_web,2544
Reflection for UNIX and OpenVMS,cpe:/a:attachmate:reflection_for_unix_and_openvms,9490
Reflection FTP Client,cpe:/a:attachmate:reflection_ftp_client,23416
Reflection X,cpe:/a:attachmate:reflection_x,9487
Verastream Host Integrator,cpe:/a:attachmate:verastream_host_integrator,18675
dolphin,cpe:/a:attachmax:dolphin,6051
YouSayToo auto-publishing プラグイン,cpe:/a:attenzione:yousaytoo,3718
attic,cpe:/a:attic_project:attic,30190
Google Authenticator login,cpe:/a:google_authenticator_login_project:ga_login,17058
ATTO FibreBridge 7500 ファームウェア,cpe:/o:atto:fibrebridge_7500n_firmware,37418
auto-thickbox-plus,cpe:/a:attosoft:auto_thickbox_plus,40747
Attribute Wizard,cpe:/a:attribute_wizard_project:attribute_wizard,33530
AChecker,cpe:/a:atutor:achecker,4200
ACollab,cpe:/a:atutor:acollab,6052
AContent,cpe:/a:atutor:acontent,13163
ATutor,cpe:/a:atutor:atutor,4201
miniCMTS200a ファームウェア,cpe:/o:atx:minicmts200a_firmware,48005
Solar Data Recorder,cpe:/a:auo:solar_data_recorder,38949
SunVeillance Monitoring System,cpe:/a:auo:sunveillance_monitoring_system_%26_data_recorder,41617
aubio,cpe:/a:aubio:aubio,31563
libncbi6,cpe:/a:aucko:libncbi6,6053
auctiontrac dealer,cpe:/a:auctiontrac:auctiontrac_dealer,22383
adplug,cpe:/a:audacious_media_player_team:adplug,13459
Audacity,cpe:/a:audacity:audacity,6054
Audi A7 MMI,cpe:/a:audi:mmi_multiplayer,48004
audimexEE,cpe:/a:web-audimex:audimexee,47311
audins audiens,cpe:/a:audins_audiens:audins_audiens,6055
audio cd ripper ocx,cpe:/a:audio_cd_tools:audio_cd_ripper_ocx,6056
audio article directory,cpe:/a:audioarticledirectory:audio_article_directory,6057
405HD ファームウェア,cpe:/o:audiocodes:405hd_firmware,38514
420HD IP Phone ファームウェア,cpe:/o:audiocodes:420hd_ip_phone_firmware,37929
440HD ファームウェア,cpe:/o:audiocodes:440hd_firmware,36377
450HD ファームウェア,cpe:/o:audiocodes:450hd_firmware,36378
AudioCodes Mediant 500-MBSR ファームウェア,cpe:/o:audiocodes:mediant_500-mbsr_firmware,39589
AudioCodes Mediant 500L-MSBR ファームウェア,cpe:/o:audiocodes:mediant_500l-msbr_firmware,39588
AudioCodes Mediant 800C-MSBR ファームウェア,cpe:/o:audiocodes:mediant_800c-msbr_firmware,39591
AudioCodes Mediant M800B-MSBR ファームウェア,cpe:/o:audiocodes:mediant_m800b-msbr_firmware,39590
FAAD2,cpe:/a:audiocoding:faad2,6058
Freeware Advanced Audio Coder,cpe:/a:audiocoding:freeware_advanced_audio_coder,29535
audiolink,cpe:/a:audiolink:audiolink,6059
AudioShare,cpe:/a:audiosharescript:audioshare,24357
Ease Jukebox,cpe:/a:audiotool:ease_jukebox,9484
auditwizard,cpe:/a:auditwizard:auditwizard,6060
Module::Signature,cpe:/a:perlmonks:module%3A%3Asignature,18089
COMfort 1200 IP ファームウェア,cpe:/o:auerswald:comfortel_1200_ip_firmware,38863
August Connect,cpe:/a:august:august_connect,37219
August Connect Wi-Fi Bridge ファームウェア,cpe:/o:august:connect_wi-fi_bridge_firmware,47384
August Connect ファームウェア,cpe:/o:august:august_connect_firmware,37220
August Home App,cpe:/a:august:august_home,46792
augustine,cpe:/a:augustine_project:augustine,34433
CandidATS,cpe:/a:auieo:candidats,43337
pwStore,cpe:/a:aultware:pwstore,42492
Easycom For PHP,cpe:/a:easycom-aura:easycom_for_php,28438
EasyCom SQL iPlug,cpe:/a:easycom-aura:sql_iplug,28439
AuraCMS,cpe:/a:auracms:auracms,4202
mod block statistik,cpe:/a:auracms:mod_block_statistik,6061
modul forum sederhana,cpe:/a:auracms:modul_forum_sederhana,6062
Jive,cpe:/a:aurea:jive,28721
Jive-n,cpe:/a:aurea:jive-n,32877
image uploader activex control,cpe:/a:aurigma:image_uploader_activex_control,6063
eMLi,cpe:/a:auromeera:emli,28669
aurora framework,cpe:/a:aurora:aurora_framework,6064
Aurora,cpe:/a:auroradao:aura,33678
IDEX Membership,cpe:/a:auroradao:idex_membership,33508
e-cart,cpe:/a:ausimods:e-cart,6065
COVIDSafe,cpe:/a:health:covidsafe,44843
AutarTimonial コンポーネント,cpe:/a:autartica:com_autartimonial,3256
com autartitarot,cpe:/a:autartica:com_autartitarot,6066
autentificator,cpe:/a:autentificator:autentificator,6067
angular-jwt,cpe:/a:auth0:angular-jwt,34836
aspnet,cpe:/a:auth0:aspnet,35967
aspnet-owin,cpe:/a:auth0:aspnet-owin,35968
Auth0,cpe:/a:auth0:auth0,31598
Auth0 AD/LDAP Connector,cpe:/a:auth0:ad_ldap_connector,47469
Auth0-WCF-Service-JWT,cpe:/a:auth0:auth0-wcf-service-jwt,38272
auth0.js,cpe:/a:auth0:auth0.js,44255
auth0.net,cpe:/a:auth0:auth0.net,41098
express-jwt,cpe:/a:auth0:express-jwt,45445
lock,cpe:/a:auth0:lock,43048
Login by Auth0,cpe:/a:auth0:login_by_auth0,43111
node-jsonwebtoken,cpe:/a:auth0:jsonwebtoken,34013
omniauth-auth0,cpe:/a:auth0:omniauth-auth0,46253
Passport-SharePoint,cpe:/a:auth0:passport-sharepoint,39660
passport-wsfed-saml2,cpe:/a:auth0:passport-wsfed-saml2,31988
auth2db,cpe:/a:auth2db:auth2db,6068
Authconfig,cpe:/a:authconfig_project:authconfig,29278
Authelia,cpe:/a:authelia:authelia,50349
Authenex Strong Authentication System Server,cpe:/a:authenex:authenex_strong_authentication_system_server,3489
Authenticated User Page Caching (Authcache),cpe:/a:misc:authenticated_user_page_caching,43457
Command Antivirus,cpe:/a:authentium:command_antivirus,4102
Authoring HTML,cpe:/a:authoring_html:authoring_html,8934
Authorize.net,cpe:/a:lincolnloop:authorize.net,40228
eCheck.Net,cpe:/a:lincolnloop:authorize.net_echeck_module,13253
authors on tour - live!,cpe:/a:authorsontourlive:authors_on_tour_-_live%21,22696
Bus Booking Script,cpe:/a:phpautoclassifiedscript:bus_booking_script,31858
DCU 210E ファームウェア,cpe:/o:auto-maskin:dcu_210e_firmware,35323
Marine Pro Observer,cpe:/o:auto-maskin:marine_pro_observer,40066
RP 210E ファームウェア,cpe:/o:auto-maskin:rp_210e_firmware,35324
autojump,cpe:/a:autojump_project:autojump,41518
AutoKey,cpe:/a:autokey_project:autokey,41379
i-Vu,cpe:/a:automatedlogic:i-vu,30449
SiteScan Web,cpe:/a:automatedlogic:sitescan_web,30450
WebCTRL,cpe:/a:automatedlogic:webctrl,30451
Automated Solutions Modbus Slave ActiveX Control,cpe:/a:automated_solutions:modbus_slave_activex_control,1672
Automated Solutions Modbus/TCP Master OPC Server,cpe:/a:automated_solutions:modbus%2Ftcp_master_opc_server,2689
CLICK PLC CPU Modules,cpe:/a:misc:automation_direct_click_plc_cpu_modules,48052
C-More EA9-RHI ファームウェア,cpe:/o:automationdirect:c-more_ea9-rhi_firmware,43236
C-More EA9-T10CL ファームウェア,cpe:/o:automationdirect:c-more_ea9-t10cl_firmware,43237
C-More EA9-T10WCL ファームウェア,cpe:/o:automationdirect:c-more_ea9-t10wcl_firmware,43238
C-More EA9-T12CL ファームウェア,cpe:/o:automationdirect:c-more_ea9-t12cl_firmware,43239
C-More EA9-T15CL-R ファームウェア,cpe:/o:automationdirect:c-more_ea9-t15cl-r_firmware,43245
C-More EA9-T6CL ファームウェア,cpe:/o:automationdirect:c-more_ea9-t6cl_firmware,43241
C-More EA9-T6CL-R ファームウェア,cpe:/o:automationdirect:c-more_ea9-t6cl-r_firmware,43240
C-More EA9-T7CL ファームウェア,cpe:/o:automationdirect:c-more_ea9-t7cl_firmware,43243
C-More EA9-T7CL-R ファームウェア,cpe:/o:automationdirect:c-more_ea9-t7cl-r_firmware,43242
C-More EA9-T8CL ファームウェア,cpe:/o:automationdirect:c-more_ea9-t8cl_firmware,43244
C-More HMI EA9 ファームウェア,cpe:/o:automationdirect:c-more_hmi_ea9_firmware,45767
C-More Micro,cpe:/o:automationdirect:c-more_micro_firmware,31287
C-More Programming Software,cpe:/o:automationdirect:c-more_plc_firmware,31288
CLICK Programming Software,cpe:/o:automationdirect:click_plc_firmware,31286
GS Drives Configuration Software,cpe:/o:automationdirect:gs_drives_fimware,31289
SL-SOFT SOLO Temperature Controller Configuration Software,cpe:/o:automationdirect:sl-soft_solo_temperature_controller_firmware,31290
Akismet,cpe:/a:automattic:akismet,40179
CampTix Event Ticketing,cpe:/a:automattic:camptix_event_ticketing,39478
canvas,cpe:/a:automattic:canvas,45612
Genericons,cpe:/a:automattic:genericons,24313
Jetpack,cpe:/a:automattic:jetpack,3375
Mongoose,cpe:/a:automattic:mongoose,41068
WP Job Manager,cpe:/a:automattic:wp_job_manager,29185
WP Super Cache,cpe:/a:automattic:wp_super_cache,42349
automne,cpe:/a:automne-cms:automne,4203
MyCar Controls,cpe:/a:misc:mycar_controls,37832
alisha marie,cpe:/a:automon:alisha_marie,22478
ledline.gr official,cpe:/a:automon:ledline.gr_official,22520
marcus butler unofficial,cpe:/a:automon:marcus_butler_unofficial,22135
mikeius,cpe:/a:automon:mikeius,22871
zoella unofficial,cpe:/a:automon:zoella_unofficial,22793
automount,cpe:/a:automount_project:automount,23742
Automox,cpe:/a:automox:automox,50265
autonessus,cpe:/a:autonessus:autonessus,6078
Autonomy KeyView IDOL,cpe:/a:autonomy:autonomy_keyview_idol,2837
KeyView Export SDK,cpe:/a:autonomy:keyview_export_sdk,1249
KeyView Filter SDK,cpe:/a:autonomy:keyview_filter_sdk,1250
KeyView Viewer SDK,cpe:/a:autonomy:keyview_viewer_sdk,1251
ultraseek,cpe:/a:autonomy:ultraseek,6079
4G/LTE ファームウェア,cpe:/o:autopi:4g%2flte_firmware,41211
Wi-Fi/NB ファームウェア,cpe:/o:autopi:wi-fi%2fnb_firmware,41210
autoptimize,cpe:/a:autoptimize:autoptimize,46422
autorand,cpe:/a:autorand_project:autorand,49488
Autosave,cpe:/a:larry_garfield:autosave,9242
AutoSec Tools V-CMS,cpe:/a:autosectools:v-cms,3497
autostand category,cpe:/a:autostand_category:autostand_category,6080
Autoswitch Python Virtualenv,cpe:/a:autoswitch_python_virtualenv_project:autoswitch_python_virtualenv,44854
AutoTrace,cpe:/a:autotrace_project:autotrace,18856
auto trader,cpe:/a:autotrader.co.za:auto_trader,21897
av arcade,cpe:/a:av_scripts:av_arcade,6113
av tutorial script,cpe:/a:av_scripts:av_tutorial_script,6082
av-data,cpe:/a:av-data_project:av-data,49412
avactis shopping cart,cpe:/a:avactis:avactis_shopping_cart,4204
Avahi,cpe:/a:avahi:avahi,1791
availscript article script,cpe:/a:availscript:availscript_article_script,6083
availscript classmate script,cpe:/a:availscript:availscript_classmate_script,6084
availscript jobs portal script,cpe:/a:availscript:availscript_jobs_portal_script,6085
availscript photo album,cpe:/a:availscript:availscript_photo_album,6086
jobs portal script,cpe:/a:availscript:jobs_portal_script,6087
news manager,cpe:/a:avalonnet:news_manager,6088
eXpert PDF Ultimate,cpe:/a:avanquest:expert_pdf_ultimate,49221
Visual CertExam Manager,cpe:/a:avanset:visual_certexam_manager,19407
avant browser,cpe:/a:avant_force:avant_browser,6090
mosmedia,cpe:/a:avant-garde_solutions:mosmedia,6089
white & yellow pages,cpe:/a:avantar:white_%26_yellow_pages,22669
avant browser,cpe:/a:avantbrowser:avant_browser,6091
Avanti Market Card,cpe:/a:avantimarkets:market_card,37345
Avast,cpe:/a:avast:avast,25991
Avast AntiTrack,cpe:/a:avast:antitrack,43731
Avast Antivirus for Linux,cpe:/a:avast:antivirus_for_linux,43661
avast antivirus free,cpe:/a:avast:avast_antivirus_free,6094
avast antivirus home,cpe:/a:avast:avast_antivirus_home,6095
Avast Antivirus Pro,cpe:/a:avast:antivirus_pro,43662
Avast Antivirus Pro Plus,cpe:/a:avast:antivirus_pro_plus,43663
avast antivirus professional,cpe:/a:avast:avast_antivirus_professional,6096
Avast Business Security,cpe:/a:avast:business_security,27125
Avast Email Server Security,cpe:/a:avast:email_server_security,27126
Avast Endpoint Protection,cpe:/a:avast:endpoint_protection_suite_plus,27130
Avast Endpoint Protection Plus,cpe:/a:avast:endpoint_protection,27127
Avast Endpoint Protection Suite,cpe:/a:avast:endpoint_protection_suite,27129
Avast Endpoint Protection Suite Plus,cpe:/a:avast:endpoint_protection_plus,27128
Avast File Server Security,cpe:/a:avast:file_server_security,27131
Avast Free Antivirus,cpe:/a:avast:free_antivirus,27132
Avast Internet Security,cpe:/a:avast:internet_security,27133
Avast Premier,cpe:/a:avast:premier,27134
Avast Premium Security,cpe:/a:avast:premium_security,42695
Avast Pro Antivirus,cpe:/a:avast:pro_antivirus,27135
Avast Secure Browser,cpe:/a:avast:secure_browser,42731
Avast SecureLine VPN,cpe:/a:avast:secureline_vpn,46527
avast アンチウィルス,cpe:/a:avast:avast_antivirus,6093
avast! antivirus,cpe:/a:avast:avast%21_antivirus,6092
avast! Mobile Security,cpe:/a:avast:avast%21_mobile_security,25113
AVG AntiTrack,cpe:/a:avast:avg_antitrack,43738
retdec,cpe:/a:avast:retdec,50033
アバスト! プレミア,cpe:/a:avast:avast_premier,25984
アバスト!インターネットセキュリティ,cpe:/a:avast:avast%21_internet_security,23148
アバスト!プロアンチウイルス,cpe:/a:avast:avast_pro_antivirus,25985
アバスト!無料アンチウイルス,cpe:/a:avast:avast_free_antivirus,25983
Avatar Uploader,cpe:/a:avatar_uploader_project:avatar_uploader,21732
aardvark topsites php,cpe:/a:avatic:aardvark_topsites_php,4205
avax vector activex,cpe:/a:avax-software:avax_vector_activex,6097
AVB Bank - Mobile Banking,cpe:/a:misc:avb_bank_avb_bank_mobile_banking,29510
avbooklibrary,cpe:/a:avbooklibrary:avbooklibrary,6101
53AB-WBS ファームウェア,cpe:/o:ave:53ab-wbs_firmware,50502
DOMINAplus,cpe:/a:ave:dominaplus,50501
TS01 ファームウェア,cpe:/o:ave:ts01_firmware,50503
TS03X-V ファームウェア,cpe:/o:ave:ts03x-v_firmware,50504
TS04X-V ファームウェア,cpe:/o:ave:ts04x-v_firmware,50505
TS05 ファームウェア,cpe:/o:ave:ts05_firmware,50506
TS05N-V ファームウェア,cpe:/o:ave:ts05n-v_firmware,50507
Avenir-soft Direct Download,cpe:/a:avenirsoft:directdownload,40833
aventail connect,cpe:/a:aventail:aventail_connect,6102
aventino brand,cpe:/a:aventinobrand:aventino_brand,22912
EH6108H+,cpe:/h:aver:eh6108h%2B,26887
EH6108H+ ファームウェア,cpe:/o:aver:eh6108h%2B_firmware,26886
Master Slider,cpe:/a:averta:master_slider,36961
HD438 ファームウェア,cpe:/o:avertx:hd438_firmware,45763
HD838 ファームウェア,cpe:/o:avertx:hd838_firmware,45762
rpg board,cpe:/a:aves:rpg_board,6103
AVEVA Batch Management,cpe:/a:aveva:aveva_batch_management,48856
AVEVA Communication Drivers Pack,cpe:/a:aveva:aveva_communication_drivers_pack,48853
AVEVA Data Acquisition Servers,cpe:/a:aveva:aveva_data_acquisition_servers,48855
AVEVA Enterprise Data Management,cpe:/a:aveva:aveva_enterprise_data_management,49162
AVEVA Historian,cpe:/a:aveva:aveva_historian,48852
AVEVA Manufacturing Execution System,cpe:/a:aveva:aveva_manufacturing_execution_system,49161
AVEVA MES,cpe:/a:aveva:aveva_mes,48857
AVEVA Mobile Operator,cpe:/a:aveva:aveva_mobile_operator,49160
AVEVA Operations Integration,cpe:/a:aveva:aveva_operations_integration,48854
AVEVA Software Platform Common Services,cpe:/a:aveva:aveva_software_platform_common_services,49163
AVEVA System Platform,cpe:/a:aveva:aveva_system_platform,48260
AVEVA Work Tasks,cpe:/a:aveva:aveva_work_tasks,49159
eDNA Enterprise Data Management,cpe:/a:aveva:edna_enterprise_data_historian,46655
Enterprise Data Management Web,cpe:/a:aveva:enterprise_data_management_web,45706
IEC870IP ファームウェア,cpe:/o:aveva:iec870ip_firmware,42804
InduSoft Web Studio,cpe:/a:aveva:indusoft_web_studio,35424
InTouch,cpe:/a:aveva:intouch,47941
InTouch 2014,cpe:/a:aveva:intouch_2014,35604
InTouch 2017,cpe:/a:aveva:intouch_2017,35605
InTouch Edge HMI,cpe:/a:aveva:intouch_edge_hmi,36570
InTouch Machine Edition 2017,cpe:/a:aveva:intouch_machine,35425
Wonderware System プラットフォーム,cpe:/a:aveva:wonderware_system_platform,38290
noticias bebes beybies,cpe:/a:avexim:noticias_bebes_beybies,22129
antivirus plus firewall,cpe:/a:avg:antivirus_plus_firewall,6104
AVG Anti-Virus,cpe:/a:avg:avg_anti-virus,4113
AVG AntiVirus FREE,cpe:/a:avg:anti-virus,28529
AVG Internet Security,cpe:/a:avg:internet_security,23471
AVG Protection,cpe:/a:avg:protection,23472
AVG Safeguard,cpe:/a:avg:safeguard,20530
AVG Secure Browser,cpe:/a:avg:secure_browser,42732
AVG Secure Search,cpe:/a:avg:secure_search_toolbar,20531
AVG Ultimate,cpe:/a:avg:ultimate,28530
ewido security suite,cpe:/a:avg:ewido_security_suite,6105
Login Widget With Shortcode,cpe:/a:login_widget_with_shortcode_project:login_widget_with_shortcode,21424
Avi Vantage,cpe:/a:avinetworks:avi_vantage,37533
Controller,cpe:/a:aviatrix:controller,44925
Gateway,cpe:/a:aviatrix:gateway,44926
OpenVPN,cpe:/a:aviatrix:openvpn,50094
VPN client,cpe:/a:aviatrix:vpn_client,42146
router,cpe:/h:avici:router,8755
Avid Media Composer,cpe:/a:avid:media_composer,3594
jobbex jobsite,cpe:/a:avidweb_technologies:jobbex_jobsite,6106
ACC,cpe:/a:avigilon:avigilon_control_center,24216
phpMoAdmin,cpe:/a:avinu:phpmoadmin,23716
Aviosoft DTV Player,cpe:/a:aviosoft:dtv_player,3166
Anti malware SDK,cpe:/a:avira:avira_anti-malware_sdk,43425
Antivir Personal,cpe:/a:avira:antivir_personal,6107
Antivir Professional,cpe:/a:avira:antivir_professional,6108
AntiVirus (旧 AntiVir),cpe:/a:avira:antivirus,4110
Avira AntiVir MailGate,cpe:/a:avira:antivir_mailgate,43281
Avira AntiVir MailGate Suite,cpe:/a:avira:antivir_mailgate_suite,43282
Avira AntiVir SharePoint,cpe:/a:avira:antivir_sharepoint,43283
Avira AntiVir WebGate,cpe:/a:avira:antivir_webgate,43284
Avira AntiVir WebGate Suite,cpe:/a:avira:antivir_webgate_suite,43285
Avira Antivirus for Endpoint,cpe:/a:avira:avira_antivirus_for_endpoint,43426
Avira Antivirus for Small Business,cpe:/a:avira:avira_antivirus_for_small_business,43427
Avira Exchange Security,cpe:/a:avira:exchange_security,43287
Avira Free Antivirus,cpe:/a:avira:free_antivirus,42681
Avira Free Security Suite,cpe:/a:avira:free_security_suite,28523
Avira Internet Security Suite,cpe:/a:avira:internet_security_suite,28524
Avira Management Console,cpe:/a:avira:management_console,24861
Avira Mobile Security,cpe:/a:avira:avira_mobile_security,29502
Avira Optimization Suite,cpe:/a:avira:optimization_suite,28525
Avira Prime,cpe:/a:avira:avira_prime,43428
Avira Professional Security,cpe:/a:avira:professional_security,43288
Avira Savapi,cpe:/a:avira:savapi,43289
Avira Secure Backup,cpe:/a:avira:avira_secure_backup,21035
Avira Server Security,cpe:/a:avira:antivirus_server,43286
Avira Software Updater,cpe:/a:avira:software_updater,40453
Avira Total Security Suite,cpe:/a:avira:total_security_suite,28526
Premium Security Suite,cpe:/a:avira:premium_security_suite,6109
FRITZ!Box (FRITZ!OS),cpe:/o:avm:fritz%21_os,25369
FRITZ!Box 6810 LTE ファームウェア,cpe:/o:avm:fritz%21box_6810_lte_firmware,30500
FRITZ!Box 6840 LTE ファームウェア,cpe:/o:avm:fritz%21box_6840_lte_firmware,30501
FRITZ!Box 7490 ファームウェア,cpe:/o:avm:fritz%21box_7490_firmware,47234
av mp3 player,cpe:/a:avnex:av_mp3_player,6111
ProjectDox,cpe:/a:avolvesoftware:projectdox,20989
avsmjpegfile.dll,cpe:/a:avs_media:avsmjpegfile.dll,6112
PE204 ファームウェア,cpe:/o:avstar:pe204_firmware,41322
AVTECH AVN801,cpe:/h:avtech:avn801_dvr,19620
AVTECH AVN801 ファームウェア,cpe:/o:avtech:avn801_dvr_firmware,19619
pager enterprise,cpe:/a:avtech:pager_enterprise,6114
Room Alert 3E ファームウェア,cpe:/o:avtech:room_alert_3e_firmware,39443
russian federation traffic rules,cpe:/a:avto-russia:russian_federation_traffic_rules,23016
Trading 212 FOREX,cpe:/a:trading_212:trading_212_forex,21033
advanced webhost billing system,cpe:/a:awbs:advanced_webhost_billing_system,4206
ar web content manager,cpe:/a:awcm-cms:ar_web_content_manager,4207
com awdwall,cpe:/a:awdsolution:com_awdwall,6115
scripts seller,cpe:/a:aweb:scripts_seller,19290
awebnews,cpe:/a:aweb_labs:awebnews,6116
aWeb Cart Watching System for Virtuemart,cpe:/a:awebsupport:aweb_cart_watching_system_for_virtuemart,27612
awesome antivirus 2014,cpe:/a:awesome_antivirus_2014_project:awesome_antivirus_2014,22748
Awesome Support,cpe:/a:getawesomesupport:awesome_support,39957
mega file manager,cpe:/a:awesomephp:mega_file_manager,6117
buy tickets,cpe:/a:awesomeseating:buy_tickets,22946
awesometemplateengine,cpe:/a:awesometemplateengine:awesometemplateengine,6118
rasta weed widgets hd,cpe:/a:awesomewidgets:rasta_weed_widgets_hd,22485
awffull,cpe:/a:awffull:awffull,6119
awful ninja game,cpe:/a:awful_ninja_game_project:awful_ninja_game,22572
awakening winds3d player,cpe:/a:awingsoft:awakening_winds3d_player,6120
awakening winds3d viewer,cpe:/a:awingsoft:awakening_winds3d_viewer,6121
awakening winds3d viewer plugin,cpe:/a:awingsoft:awakening_winds3d_viewer_plugin,6122
awrate,cpe:/a:awrate:awrate,6123
Knomi,cpe:/a:aware:knomi,38693
AWS XMS,cpe:/a:aws-dms:aws_xms,42860
cli-lambda-deploy,cpe:/a:misc:awspilot_cli-lambda-deploy,42620
gallery search engine,cpe:/a:awscripts:gallery_search_engine,6124
awzmb,cpe:/a:awzmb:awzmb,6125
ax developer cms,cpe:/a:ax_developer_cms:ax_developer_cms,6126
protiva,cpe:/a:axalto:protiva,6127
Javascript and CSS Optimizer,cpe:/a:axel_jung:js_css_optimizer,18117
lsyncd,cpe:/a:lsyncd_project:lsyncd,21773
Axel,cpe:/a:axel_project:axel,44961
Testimonials Widget,cpe:/a:axelerant:testimonials_widget,49849
Axentra Hipserv,cpe:/o:axentra:hipserv,39191
akw-d800,cpe:/h:axesstel:akw-d800,8756
MU553S ファームウェア,cpe:/o:axesstel:mu553s_firmware,30568
mv 410r,cpe:/h:axesstel:mv_410r,8757
slide show creator,cpe:/a:aximediasoft:slide_show_creator,22431
Axioma Premium Responsive,cpe:/a:axioma_premium_responsive_project:axioma_premium_responsive,41150
Bento4,cpe:/a:bento4:bento4,30444
AXIOM,cpe:/a:axiomsl:axiom,38083
