vendor,cpe,vid
Axel Jung,cpe:/:axel_jung,9084
Axel Kittenberger,cpe:/:lsyncd_project,10362
Axel project,cpe:/:axel_project,18330
Axelerant,cpe:/:axelerant,19762
Axentra Corporation,cpe:/:axentra,16486
Axesstel,cpe:/:axesstel,4174
aximediasoft,cpe:/:aximediasoft,10875
Axioma Premium Responsive project,cpe:/:axioma_premium_responsive_project,17312
Axiomatic Systems LLC,cpe:/:bento4,13075
"AXIOMSL, Inc.",cpe:/:axiomsl,16232
AXIOS ITALIA SERVICE S.r.l.,cpe:/:axiositalia,15611
axios project,cpe:/:axios,16346
AXML Parser project,cpe:/:axml_parser_project,15263
axmldec project,cpe:/:axmldec_project,15262
AXON,cpe:/:axon,15723
Axous,cpe:/:axous,17966
Axper Inc.,cpe:/:axper,17748
AXScripts,cpe:/:axscripts,707
axublog,cpe:/:axublog,14047
Axway,cpe:/:axway,6691
AxxonSoft,cpe:/:axxonsoft,13833
axyl,cpe:/:axyl,2416
ay system solutions,cpe:/:ay_system_solutions,2417
Ayatana Project,cpe:/:ayatana_project,9647
Ayision,cpe:/:ayision,18250
Aymeric Augustin,cpe:/:myks,15120
AYS Pro Extensions,cpe:/:ays-pro,16847
ayuntamientodecoana,cpe:/:ayuntamientodecoana,10647
"AzeoTech, Inc.",cpe:/:azeotech,695
azerbaijan development group,cpe:/:azerbaijan_development_group,2418
Azeus Systems Limited,cpe:/:anywherepad,10023
azimyt,cpe:/:azimyt,2419
Azkaban project,cpe:/:azkaban_project,18115
azrul,cpe:/:azrul,2420
Aztech Group Ltd,cpe:/:aztech,4175
aztek forum,cpe:/:aztek_forum,2421
AZTToken project,cpe:/:azttoken_project,14555
azucar cms,cpe:/:azucar_cms,2422
AzurionToken project,cpe:/:azuriontoken_project,14905
B&R Industrial Automation,cpe:/:br-automation,18226
B&R Industrial Automation GmbH.,cpe:/:misc,18088
B-Elektro,cpe:/:b-elektro,857
B.A.S,cpe:/:boxautomation,11820
b1g,cpe:/:b1g,2423
b2evolution,cpe:/:b2evolution,145
b3log,cpe:/:b3log,15510
BA Systems,cpe:/:basystems,13543
baalasp,cpe:/:baalasp,2424
baalsystems,cpe:/:baalsystems,2425
BAB TECHNOLOGIE GmbH,cpe:/:bab-technologie,19022
babbleboard,cpe:/:babbleboard,2426
babelcli project,cpe:/:babelcli_project,14203
babiloo project,cpe:/:babiloo_project,17451
Baby Care System,cpe:/:baby_care_system_project,19090
baby stomach surgery project,cpe:/:baby_stomach_surgery_project,10962
babybus,cpe:/:babybus,11206
babydays,cpe:/:babydays,11092
Babylon,cpe:/:babylon,4450
Bachmann Electronic,cpe:/:misc,19205
Back In Time project,cpe:/:backintime_project,12594
back-end,cpe:/:back-end,2427
backbone project,cpe:/:backbone_project,14665
backbone-query-parameters project,cpe:/:backbone-query-parameters_project,19871
BackBox.org,cpe:/:backbox,12583
Backdrop,cpe:/:backdropcms,15750
Background Check protool,cpe:/:backgroundcheckprotool,10022
backlinkspider,cpe:/:backlinkspider,2428
Backpack for Laravel,cpe:/:backpackforlaravel,16725
backup manager,cpe:/:backup_manager,2429
backup-agoddard project,cpe:/:backup-agoddard_project,13591
BackupGuard,cpe:/:backup-guard,12923
backweb,cpe:/:backweb,2430
baconmap,cpe:/:baconmap,1365
Bacula.org,cpe:/:bacula,2431
Bad Behavior,cpe:/:bad_behavior_project,10299
badblue,cpe:/:badblue,2432
badjs-sourcemap-server project,cpe:/:badjs-sourcemap-server_project,14644
badongo,cpe:/:badongo,2433
bagesoft,cpe:/:bagesoft,15276
"Baidu, Inc.",cpe:/:baidu,2434
baigo,cpe:/:baigo,15422
baijiacms,cpe:/:baijiacms_project,13997
baijunyao,cpe:/:laravel-bjyblog_project,17254
bakbone,cpe:/:bakbone,2435
Bakeshop Inventory System project,cpe:/:bakeshop_inventory_system_project,15693
Bakeshop Online Ordering System,cpe:/:bakeshop_online_ordering_system_project,19643
balabit,cpe:/:balabit,1366
Balbooa extensions,cpe:/:balbooa,14786
Balderdash,cpe:/:balderdash,14684
Ballerina project,cpe:/:ballerina,19217
bam project,cpe:/:bam_project,19008
ban,cpe:/:ban,2436
Banana Dance,cpe:/:bananadance,4491
Banckle Chat Project,cpe:/:banckle_chat_project,8895
Bancobcr Movil,cpe:/:banco_de_costa_rica,12703
bandersnatch,cpe:/:bandersnatch,2437
bandh,cpe:/:bandh,11087
Bandisoft,cpe:/:bandisoft,9493
bandsitecms,cpe:/:bandsitecms,2438
banex,cpe:/:banex,2439
bankcoin project,cpe:/:bankcoin_project,14827
bankofamerica,cpe:/:bankofamerica,1367
banktown,cpe:/:banktown,9396
BannerSky,cpe:/:bannersky,9866
banpro,cpe:/:banpro,2440
Banque Internationale Arabe de Tunisie,cpe:/:biat,10016
Banque Zitouna,cpe:/:dot_it,12685
banshee-project,cpe:/:banshee-project,1368
banu,cpe:/:banu,1369
baofeng,cpe:/:baofeng,2441
barackobama,cpe:/:barackobama,10714
barad dur,cpe:/:barad_dur,2442
baramundi software AG,cpe:/:baramundi,9150
Barandi Solutions,cpe:/:barandisolutions,4327
barchart,cpe:/:barchart,18803
Barco,cpe:/:barco,12312
barcode scanner project,cpe:/:barcode_scanner_project,10551
barcodephp,cpe:/:barcodephp,2443
"BarCodeWiz, Inc.",cpe:/:barcodewiz,2444
Bare Bones Software,cpe:/:barebones,9303
bare concept media,cpe:/:bare_concept_media,2445
bareftp,cpe:/:bareftp,1370
barekoncept,cpe:/:barekoncept,2446
barenuked,cpe:/:barenuked,2447
Bareos GmbH & Co. KG,cpe:/:bareos,13152
barman,cpe:/:barman,2448
Barni Carlo,cpe:/:barni,13633
barnowl,cpe:/:barnowl,2449
barnraiser,cpe:/:barnraiser,2450
Barrel Strength Design,cpe:/:barrelstrengthdesign,18283
Barron McCann Technology Limited ,cpe:/:barron_mccann,146
barry jaspan,cpe:/:barry_jaspan,2451
barry nauta,cpe:/:barry_nauta,2452
barryvan compo,cpe:/:barryvan_compo,2453
Bart Feenstra,cpe:/:bart_feenstra,8893
bartels-schoene,cpe:/:bartels-schoene,2454
Barter Sites,cpe:/:barter-sites,968
baryton-saxophone project,cpe:/:baryton-saxophone_project,14254
bas bloemsaat,cpe:/:bas_bloemsaat,2455
Bas van Beek,cpe:/:bas_van_beek,8996
BASE,cpe:/:base,1206
basebuilder,cpe:/:basebuilder,2456
Basecamp,cpe:/:basecamp,15760
baserCMSユーザー会,cpe:/:basercms,696
BASETech,cpe:/:basetech,19105
baseurl.org,cpe:/:baseurl,9440
basic analysis and security engine,cpe:/:basic_analysis_and_security_engine,9256
Basic-CMS,cpe:/:basic-cms,1371
basicforum,cpe:/:basicforum,2457
basicunivers.free.fr,cpe:/:basicunivers.free.fr,2458
basic_dsp_matrix project,cpe:/:basic_dsp_matrix_project,19591
basilix,cpe:/:basilix,2459
Basix,cpe:/:nex-forms_-_ultimate_form_builder_project,17214
basketball news & videos project,cpe:/:basketball_news_%26_videos_project,10859
basti2web,cpe:/:basti2web,2460
Bastian Allgeier GmbH,cpe:/:bastian_allgeier,11998
bastian blumentritt,cpe:/:bastian_blumentritt,2461
bastikikang,cpe:/:karenderia_multiple_restaurant_system_project,19049
Basware,cpe:/:basware,11873
Batavi,cpe:/:batavi,1102
batch,cpe:/:batch,10584
batflat,cpe:/:batflat,18878
Battelle,cpe:/:battelle,15817
battleblog,cpe:/:battleblog,2462
battlefront,cpe:/:battlefront,2463
baumedia,cpe:/:baumedia,2464
Baxter,cpe:/:baxter,16231
bayashi.net,cpe:/:bayashi,8860
Bayerische Motoren Werke AG,cpe:/:bavarian_motor_works,12769
bazaarbuilder,cpe:/:bazaarbuilder,2465
BB&T,cpe:/:bb%26t,12208
bb-news,cpe:/:bb-news,9249
bbclone,cpe:/:bbclone,2466
bbpress,cpe:/:bbpress,1372
bbPress Move Topics project,cpe:/:bbpress_move_topics_project,16856
bbs,cpe:/:bbs,2469
bbs100,cpe:/:bbs100,2468
bbsmax,cpe:/:bbsmax,2470
bbsnew,cpe:/:bbsnew,2471
bbsprocess,cpe:/:bbsprocess,2472
bbsxp,cpe:/:bbsxp,2473
BCaaS project,cpe:/:bcaas_project,14613
bchunk project,cpe:/:bchunk_project,13255
BCN Quark,cpe:/:bcnquark,16478
bcoin,cpe:/:bcoin,18728
bcoos,cpe:/:bcoos,2474
Bcxss project,cpe:/:bcxss_project,15001
BD Biosciences,cpe:/:bd,16085
Bdale Garbee,cpe:/:bdale_garbee,1286
bdigital web solutions,cpe:/:bdigital_web_solutions,2475
bdtask,cpe:/:bdtask,18405
BDWGC project,cpe:/:bdwgc_project,12277
BE User Log project,cpe:/:be_user_log_project,11776
BE User Switch,cpe:/:typo3,1196
bea systems,cpe:/:bea_systems,2476
beacon,cpe:/:beacon,2477
BeaconMedaes,cpe:/:beaconmedaes,14142
beagle-project,cpe:/:beagle-project,9241
Beaker Browser,cpe:/:beakerbrowser,18219
Beaker Project,cpe:/:beaker-project,13073
beamnote.com,cpe:/:wp_microblogs_project,9832
Bean Project,cpe:/:bean_project,9497
Beanbag,cpe:/:reviewboard,797
BeanShell project,cpe:/:beanshell_project,12113
BearAdmin project,cpe:/:bearadmin_project,14124
BearDev,cpe:/:beardev,16691
bearftp project,cpe:/:bearftp_project,17811
bearhugmedia,cpe:/:bearhugmedia,11329
bearidlock,cpe:/:bearidlock,11270
bearrivernet.net,cpe:/:bearrivernet.net,2478
beatificfaith,cpe:/:beatificfaith,6703
beatnik,cpe:/:beatnik,2479
beatport,cpe:/:beatport,2480
beaussier,cpe:/:beaussier,2481
Beauty Chain,cpe:/:beauty,14045
BeautyntheRep,cpe:/:avon,10025
BEAシステムズ,cpe:/:bea,33
becauseinter,cpe:/:becauseinter,2482
Beckhoff Automation,cpe:/:beckhoff,697
"Beckwith Electric Co., Inc.",cpe:/:beckwithelectric,11717
becontent,cpe:/:becontent,2483
"Becton, Dickinson and Company (BD)",cpe:/:bd,12508
becubed,cpe:/:becubed,2484
bed and breakfast project,cpe:/:bed_and_breakfast_project,10718
BEdita,cpe:/:bedita,11472
Beego,cpe:/:beego,17097
Beehive Forum,cpe:/:beehive_forum,1099
beehive software,cpe:/:beehive_software,2485
Beeline,cpe:/:beeline,16516
BeenVerified.com,cpe:/:beenverified,10018
beerwin,cpe:/:beerwin,2486
BEESCMS,cpe:/:beescms,14035
Beetel,cpe:/:beetel,9688
Beijer Electronics,cpe:/:beijerelectronics,8829
"Beijing Guoju Information Technology Co., Ltd.",cpe:/:guojusoft,19916
"Beijing Liangjing Zhicheng Technology Co., Ltd.",cpe:/:ljcmsshop_project,19038
Beijing Rising International Software,cpe:/:rising-global,1294
"Beijing Roborock Technology Co., Ltd.",cpe:/:misc,19660
Beijing Seeyon Internet Software,cpe:/:seeyon,19213
Beijing Sunway ForceControl Technology,cpe:/:sunwayland,913
"Beijing Tengcontrol Technology Co.,Ltd",cpe:/:tengcon,16110
Bekirk,cpe:/:bekirk,13298
belasfrasesdeamor,cpe:/:belasfrasesdeamor,10754
belchior foundry,cpe:/:belchior_foundry,2487
Belden Inc.,cpe:/:belden,12093
Belitsoft.,cpe:/:belitsoft,13732
Belkin International,cpe:/:belkin,4176
"Belkin International, Inc.",cpe:/:linksys,17900
bell labs,cpe:/:bell_labs,4197
Belledonne Communications,cpe:/:bzrtp_project,12321
bellyhoodcom project,cpe:/:bellyhoodcom_project,10452
belong software,cpe:/:belong_software,2488
beltane,cpe:/:beltane,2489
"Belwith Products, LLC",cpe:/:belwith-keeler,16899
Ben Gillbanks,cpe:/:binarymoon,9183
ben jeavons,cpe:/:ben_jeavons,2491
ben webb,cpe:/:ben_webb,2492
ben10 omniverse walkthrough project,cpe:/:ben10_omniverse_walkthrough_project,10425
ben3w,cpe:/:ben3w,2490
Bence Meszaros,cpe:/:bencemeszaros,6541
Bender,cpe:/:bender,18861
bendiken,cpe:/:bendiken,2493
beneplus,cpe:/:beneplus,10553
benjacms,cpe:/:benjacms,2494
Benjamin ARNAUDETR,cpe:/:benjamin_arnaudetr,9076
Benjamin BALET,cpe:/:jorani,15421
benjamin curtis,cpe:/:benjamin_curtis,2495
benjamin kuz,cpe:/:benjamin_kuz,2496
Benjamin Mack,cpe:/:benjamin_mack,6632
benjamin pasero and tobias eichert,cpe:/:benjamin_pasero_and_tobias_eichert,2497
Benjamin Rojas,cpe:/:wp_editor_project,16721
Benjamin Sterling,cpe:/:photoxhibit_project,12241
Benoit Blanchon,cpe:/:arduino_json_project,11790
Bentley Systems,cpe:/:bentley,4477
ber kessels,cpe:/:ber_kessels,2498
berlios,cpe:/:berlios,2500
berliOS,cpe:/:ol-commerce_project,9910
berlios,cpe:/:berlios,2500
bernard gilly,cpe:/:bernard_gilly,2501
bernard joly,cpe:/:bernard_joly,2502
bernard pacques,cpe:/:bernard_pacques,2503
Bernd Bestel,cpe:/:grocy,18845
bernhard frohlich,cpe:/:bernhard_frohlich,2504
Bernhard Wymann,cpe:/:bernhard_wymann,1373
beroNet GmbH.,cpe:/:beronet,18587
Berta,cpe:/:berta,13246
berthanas ziyaretci,cpe:/:berthanas_ziyaretci,2505
berylium,cpe:/:berylium,2506
besavvy,cpe:/:besavvy,2507
best beginning project,cpe:/:best_beginning_project,10992
best free giveaways project,cpe:/:best_free_giveaways_project,10678
best it,cpe:/:bestit,19021
Best Practical Solutions,cpe:/:bestpractical,1374
bestapp,cpe:/:bestapp,10956
BestQuote,cpe:/:avd-app,10142
bestsoftinc,cpe:/:bestsoftinc,1375
Besttoolbars,cpe:/:besttoolbars,11358
bestwebapp,cpe:/:bestwebapp,2508
bestwebsharing,cpe:/:bestwebsharing,2509
BestWebSoft,cpe:/:bestwebsoft,11568
BestXsoftware,cpe:/:bestxsoftware,15687
bestzip project,cpe:/:bestzip_project,18689
betaparticle,cpe:/:betaparticle,2510
Betcash project,cpe:/:betcash_project,14902
betella,cpe:/:betella,1376
Betster project,cpe:/:betster_project,11588
betsy,cpe:/:betsy,2511
Betterment Holdings Inc.,cpe:/:betterment,12954
BetterThanAdrien project,cpe:/:betterthanadrien_project,14957
Bevywise Networks Inc.,cpe:/:bevywise,16446
Beyond grep,cpe:/:beyondgrep,9275
BeyondCash,cpe:/:beyondcash,14979
Beyondco,cpe:/:beyondco,18349
BeyondTrust Corporation,cpe:/:beyondtrust,16269
bfac,cpe:/:bfac,10587
BFGMiner project,cpe:/:bfgminer,9901
bfs.kilu,cpe:/:bfs.kilu,2512
Bgamecoin project,cpe:/:bgamecoin_project,15169
BGCGToken project,cpe:/:bgcgtoken_project,15057
bgenergy,cpe:/:bgenergy,10622
bgsvetionik,cpe:/:bgsvetionik,2514
Bharat Mediratta,cpe:/:menalto,1582
bhavesh chauhan,cpe:/:bhavesh_chauhan,2516
biais,cpe:/:biais,10773
bib2html Project,cpe:/:bib2html_project,9705
biba software,cpe:/:biba_software,2517
bibciter,cpe:/:bibciter,2518
bibleslots,cpe:/:bibleslots,10702
Biblio Autocomplete Project,cpe:/:biblio_autocomplete_project,9951
"Bibliosoft, LDA",cpe:/:bibliosoft,16367
bibtex,cpe:/:bibtex,2519
BibTeX-ruby project,cpe:/:bibtex-ruby_project,17818
bibutils project,cpe:/:bibutils_project,14074
BIC Media Widget plugin,cpe:/:bic_media_widget_plugin,9795
bicluc,cpe:/:bicluc,2520
biebernoticias,cpe:/:biebernoticias,11080
big blue,cpe:/:big_blue,2521
"Big Switch Networks, Inc.",cpe:/:bigswitch,17828
BIGACE,cpe:/:bigace,1377
BigAntSoft,cpe:/:bigantsoft,2522
BigBadaboom,cpe:/:androidsvg_project,13536
BigBlueButton,cpe:/:bigbluebutton,18209
BIGCAdvancedToken project,cpe:/:bigcadvancedtoken_project,14511
bigint project,cpe:/:bigint_project,19492
biglle,cpe:/:biglle,2523
BigProf,cpe:/:bigprof,15806
BigTree CMS,cpe:/:bigtreecms,9064
Bigware,cpe:/:bigware,2524
bikersromagna,cpe:/:bikersromagna,11218
bikersunderground,cpe:/:bikersunderground,10750
Bilanc Shpk,cpe:/:bilanc,19371
Bilboplanet,cpe:/:bilboplanet,12418
bilingual magic ball project,cpe:/:bilingual_magic_ball_project,10837
bilingual magic ball relajo project,cpe:/:bilingual_magic_ball_relajo_project,10907
bill roberts,cpe:/:bill_roberts,2525
billgbennett,cpe:/:billgbennett,10488
Billion,cpe:/:billion,16294
BillionRewardsToken project,cpe:/:billionrewardstoken_project,15047
billwerx,cpe:/:billwerx,2526
Bilyoner.com,cpe:/:bilyoner,9673
Binance,cpe:/:binance,18245
BinaryNights LLC.,cpe:/:binarynights,19055
bingo news,cpe:/:bingo_news,2527
bingos,cpe:/:libpoe-component-irc-perl_project,17462
binn,cpe:/:binn,2528
Bioinformatics,cpe:/:bioinformatics,2529
bionode,cpe:/:bionode,14234
bioscripts,cpe:/:bioscripts,2530
BIOTRONIK,cpe:/:biotronik,18443
BiquToken project,cpe:/:biqutoken_project,14532
Bird Feeder project,cpe:/:bird_feeder_project,11359
BIRD project,cpe:/:bird_project,14646
BirdBlog,cpe:/:birdblog,2531
Birebin,cpe:/:birebin,9623
Biscom,cpe:/:biscom,12858
bishop bettini,cpe:/:bishop_bettini,1378
BisonWare,cpe:/:bisonware,11954
bistudio,cpe:/:bistudio,2532
bit 5 blog,cpe:/:bit_5_blog,9395
bit part 合同会社,cpe:/:bit-part,14147
bit project,cpe:/:bit_project,19761
bit2spr project,cpe:/:bit2spr_project,18159
Bit51,cpe:/:bit51,4317
Bitberry Software,cpe:/:bitberry_software,8927
Bitbucket,cpe:/:bitbucket,8850
bitchx,cpe:/:bitchx,2533
Bitcoin Core,cpe:/:bitcoincore,14945
Bitcoin Knots Project,cpe:/:bitcoin_knots_project,12265
Bitcoin Project,cpe:/:bitcoin,4291
Bitcoin Red project,cpe:/:bitcoin_red_project,15367
Bitcoin SV,cpe:/:bitcoinsv,19395
Bitcoin-Abe project,cpe:/:bitcoin-abe_project,18211
BitcoinAgile project,cpe:/:bitcoinagile_project,14965
bitcomet,cpe:/:bitcomet,9429
BitDefender,cpe:/:bitdefender,491
bite it! project,cpe:/:bite_it%21_project,11205
BiteduToken project,cpe:/:bitedutoken_project,14497
bitego,cpe:/:bitego,2534
bitesser,cpe:/:bitesser,2535
bitflu,cpe:/:bitflu,2536
bitflux,cpe:/:bitflux,2537
bitlbee,cpe:/:bitlbee,2538
Bitmain Technologies Limited,cpe:/:bitmain,14263
Bitmap API project,cpe:/:bitmap_project,15559
BitmaxerToken project,cpe:/:bitmaxertoken_project,15053
Bitmessage,cpe:/:bitmessage,13906
bitmixsoft,cpe:/:bitmixsoft,2539
bitmover,cpe:/:bitmover,2540
Bitnami,cpe:/:bitnami,19734
bitotal,cpe:/:bitotal,14886
Bitovi,cpe:/:bitovi,19580
Bitpark project,cpe:/:bitpark_project,15071
BitPay,cpe:/:insight.bitpay,13751
BitRhymes Inc,cpe:/:bashgaming,10055
Bitrix,cpe:/:bitrix,2541
Bitrix project,cpe:/:bitrix_project,12625
Bitrix24,cpe:/:bitrix24,19171
bitrock,cpe:/:bitrock,9248
bits-dont-bite,cpe:/:bits-dont-bite,2542
bitscast,cpe:/:bitscast,2543
bitscripts,cpe:/:bitscripts,2544
Bitstarti project,cpe:/:bitstarti_project,14496
BitStore project,cpe:/:bitstore_project,15097
bittacora,cpe:/:bittacora,18973
Bittelux project,cpe:/:bittelux_project,14917
"BitTorrent, Inc.",cpe:/:bittorrent,2545
bitty project,cpe:/:bitty_project,14237
bitvec project,cpe:/:bitvec_project,19453
Bitwarden,cpe:/:bitwarden,17642
Bitweaver,cpe:/:bitweaver,1269
BitWizard B.V.,cpe:/:matt_kimball_and_roger_wolff,539
Bixie,cpe:/:bixie,15562
Bizagi,cpe:/:bizagi,9690
bizdirectory,cpe:/:bizdirectory,2546
BizLogic,cpe:/:bizlogicdev,13637
bjsintay,cpe:/:bjsintay,2547
bkjs-wand project,cpe:/:bkjs-wand_project,14242
bkleineidam,cpe:/:bkleineidam,2548
bl4,cpe:/:bl4,9408
Blaauw,cpe:/:blaauwproducts,18272
blabsoft,cpe:/:blabsoft,2549
Black Belt Studio,cpe:/:blackbeltstudio,10019
Black Box Network Services.,cpe:/:blackbox,12145
Black Cat Development,cpe:/:blackcat-cms,10011
black ice,cpe:/:black_ice,2550
Blackbam,cpe:/:improved_user_search_in_backend_project,9942
BlackBerry,cpe:/:blackberry,413
"Blackboard, Inc.",cpe:/:blackboard,597
blackdot,cpe:/:blackdot,2551
blackfire,cpe:/:blackfire,19381
blackmoonftpserver,cpe:/:blackmoonftpserver,1379
BLACKVIEW,cpe:/:blackview,17522
Blackwave,cpe:/:blackwave,13114
Blade,cpe:/:blade-group,17481
BladeEnc,cpe:/:bladeenc,13159
blaenkdenum,cpe:/:blaenkdenum,1380
Blair Jordan,cpe:/:rockhoist_badges_project,12391
Blair Williams,cpe:/:caseproof,17285
Blake Mizerany,cpe:/:sinatrarb,13807
BLAKE2,cpe:/:blake2,17023
blakord,cpe:/:blakord,2553
blamer project,cpe:/:blamer_project,18022
blazevideo,cpe:/:blazevideo,2554
blender,cpe:/:blender,2555
blentz,cpe:/:blentz,1381
Blessing Premium Responsive project,cpe:/:blessing_premium_responsive_project,17307
BLF-Tech LLC,cpe:/:blftech,12708
Blinger,cpe:/:blinger,18897
Blink Web Effects,cpe:/:blinkwebeffects,8934
BlinkForHome,cpe:/:blinkforhome,15977
Blipcare,cpe:/:blipcare,16560
Blix Inc.,cpe:/:blixhq,18049
blizzard entertainment,cpe:/:blizzard_entertainment,2557
"Blizzard Entertainment, Inc.",cpe:/:blizzard,2556
Blktrace,cpe:/:blktrace_project,14076
blob,cpe:/:blob,2558
Block.one,cpe:/:block,14681
block18,cpe:/:block18,15127
Blocksera,cpe:/:blocksera,19928
blog torrent,cpe:/:blog_torrent,2559
blogator-script,cpe:/:blogator-script,2560
blogcms,cpe:/:blogcms,1382
blogCMS project,cpe:/:blogcms_project,15518
BlogEngine.NET,cpe:/:dotnetblogengine,3304
bloggit,cpe:/:bloggit,2561
Blogifier,cpe:/:blogifier,16394
blogkamek,cpe:/:blogkamek,11323
BlogoText project,cpe:/:blogotext_project,13171
BlogPHP,cpe:/:blogphp,448
blogplus,cpe:/:blogplus,2562
blogsa,cpe:/:blogsa,2563
Blogstand Banner plugin project,cpe:/:blogstand_banner_plugin_project,9874
blogtrafficexchange,cpe:/:blogtrafficexchange,2564
Blog_mini project,cpe:/:blog_mini_project,16128
blojsom,cpe:/:blojsom,2565
blondish,cpe:/:blondish,1383
BloodHoundAD,cpe:/:bloodhound_project,16920
bloodjournal,cpe:/:bloodjournal,11290
bloodshed software,cpe:/:bloodshed_software,2566
bloodx project,cpe:/:bloodx_project,19170
bloofox,cpe:/:bloofox,893
Bloomreach,cpe:/:bloomreach,19723
bloomyou,cpe:/:bloomyou,10866
Bloop SRL,cpe:/:bloop,15364
Bloq,cpe:/:bloq,18075
Blosc,cpe:/:c-blosc2_project,19148
Blosxom,cpe:/:blosxom,429
Bloxx,cpe:/:bloxx,1896
BLU Products,cpe:/:bluproducts,16514
Bluboo,cpe:/:bluboo_d3_pro_project,17514
Bludit,cpe:/:bludit,13345
Blue Constant Media Ltd,cpe:/:blueconstantmedia,827
blue dragon,cpe:/:blue_dragon,2568
blue eye cms,cpe:/:blue_eye_cms,2569
Blue Marble Geographics,cpe:/:bluemarblegeo,8938
Blue Prism,cpe:/:blueprism,16403
Blue Ridge Bank and Trust,cpe:/:misc,12824
Blue River,cpe:/:blueriver,1384
blue smiley organizer,cpe:/:blue_smiley_organizer,2570
blue-collar productions,cpe:/:blue-collar_productions,2567
bluearc,cpe:/:bluearc,4177
Blueberry Software,cpe:/:bbsoftware,1020
bluecat networks,cpe:/:bluecat_networks,4178
BlueCats Australia Pty Ltd,cpe:/:bluecats,16392
Bluechip Software,cpe:/:bluechip,1195
BlueCms,cpe:/:bluecms,982
bluecube,cpe:/:bluecube,2571
blueeleph project,cpe:/:blueeleph_project,10830
blueflyingfish.no-ip,cpe:/:blueflyingfish.no-ip,2572
bluegate,cpe:/:bluegate,2573
blueman-project,cpe:/:blueman_project,12052
Bluemedicinelabs,cpe:/:bluemedicinelabs,20027
BlueMind,cpe:/:bluemind,16094
BlueOnyx,cpe:/:blueonyx,18248
bluepage,cpe:/:bluepage,2574
blueshoes,cpe:/:blueshoes,2575
bluesky,cpe:/:bluesky,2576
bluesocket,cpe:/:bluesocket,2577
bluesoil bluetooth,cpe:/:bluesoil_bluetooth,2578
BlueSpire,cpe:/:bluespire,19987
Bluestacks,cpe:/:bluestacks,12307
bluestrikeweb,cpe:/:bluestrikeweb,2579
blueteck,cpe:/:blueteck,4520
"Bluetooth SIG, Inc.",cpe:/:bluetooth,16715
BlueTrace,cpe:/:bluetrace,18212
bluetrait,cpe:/:bluetrait,2580
bluevirus-design,cpe:/:bluevirus-design,2581
BlueZ Project,cpe:/:bluez,264
Bluezone,cpe:/:bluezone,18241
bluocms,cpe:/:bluocms,2582
blursoft,cpe:/:blursoft,2583
bluview,cpe:/:bluview,2584
blynk,cpe:/:blynk,10603
Blynk Pte Ltd.,cpe:/:rapidflows,16372
bm,cpe:/:bm,11208
BMC Medical / 3B Medical,cpe:/:cpap,14022
BMC Software,cpe:/:bmc,1385
BMF Apps,cpe:/:bmfapps,10014
bmforum,cpe:/:bmforum,2585
bmobile,cpe:/:bmobile,11143
bmscripts,cpe:/:bmscripts,2586
BMVCoin,cpe:/:bmvcoin,15165
BMW,cpe:/:bmw,14163
bncwi,cpe:/:bncwi,2587
Bo-blog,cpe:/:bo-blog,15999
Boa,cpe:/:boa,2588
boastmachine,cpe:/:boastmachine,2589
Boat Browser,cpe:/:boatmob,6694
boatscripts,cpe:/:boatscripts,2590
Bob Hepple,cpe:/:gjots2_project,13462
bob jewell,cpe:/:bob_jewell,2591
Bobcares,cpe:/:bobcares,13122
Bobronix,cpe:/:bobronix,16489
bochs,cpe:/:bochs,2592
Bodil Stokke,cpe:/:sized-chunks_project,18743
bodymen project,cpe:/:bodymen_project,17974
Boehm-Demers-Weiser,cpe:/:boehm-demers-weiser,4273
boesch-it,cpe:/:boesch-it,2593
bogofilter,cpe:/:bogofilter_project,2594
Boite a Site,cpe:/:boiteasite,16530
boite de news,cpe:/:boite_de_news,2595
boka,cpe:/:boka,1386
bokecc,cpe:/:bokecc,2596
boldfx,cpe:/:boldfx,2597
BoldGrid,cpe:/:boldgrid,17896
BoldThemes,cpe:/:bold-themes,17008
bolinos,cpe:/:bolinos,2598
bolintech,cpe:/:bolintech,2599
Bologer,cpe:/:bologer,16860
Bolt,cpe:/:bolt,11922
BoltBrowser,cpe:/:boltbrowser,18844
BoltWire,cpe:/:boltwire,9175
BOMBBA project,cpe:/:bombba_project,17737
bomberclone,cpe:/:bomberclone,2600
Bomgar Corporation,cpe:/:bomgar,11674
bongomovie project,cpe:/:bongomovie_project,11200
Bonial Enterprises Northamerica Inc.,cpe:/:retale,10128
"Bonitasoft, Inc.",cpe:/:bonitasoft,11782
bonoestente,cpe:/:bonoestente,2601
bonusToken project,cpe:/:bonustoken_project,14830
bonzacart,cpe:/:bonzacart,2602
boodskap,cpe:/:boodskap,15191
bookelves,cpe:/:bookelves,2603
bookformobile,cpe:/:bookformobile,10692
Booking project,cpe:/:booking_project,16992
bookingcentre,cpe:/:bookingcentre,2604
bookjam,cpe:/:bookjam,10453
bookmarkify project,cpe:/:bookmarkify_project,17193
bookmarkx,cpe:/:bookmarkx,2605
booksbyraven,cpe:/:booksbyraven,11078
booksellerscanada,cpe:/:booksellerscanada,10501
BookStack project,cpe:/:bookstackapp,13534
BookX plugin project,cpe:/:bookx_plugin_project,9881
BooleBox,cpe:/:boolebox,18416
Boolector project,cpe:/:boolector_project,15985
